"SATCO PRODUCTS - NUVO LIGHTING - PRICE FILE AS OF NOVEMBER 3, 2025",,,,,,,,,
ALL ITEMS QUOTED ARE SUBJECT TO A PRICE CHANGE SHOULD IMPORT TARIFFS INCREASE.,,,,,,,,,
ITEM,DESCRIPTION,INN PK,CASE PK,EA $,CASE$,MOQ,Each UPC Code,IMAP$,ITEM-EDI SKU
S5124-TF,1000 Watt; High Pressure Sodium HID; Mogul base; E25; Clear; 22 CRI; 2100K; Shatter Proof,,6,$76.45,$76.45,,None,No IMAP,S5124/TF
S5133,750 Watt; High Pressure Sodium HID; Mogul base; BT37; Clear; 22 CRI; 2100K,,6,$89.95,$88.95,,046135675478,No IMAP,S5133
S5179,E620T-45-688110-TP; 4-6 Lamps; Rapid Start Sign Ballast,,,$131.25,$131.25,,None,No IMAP,S5179
S5213,"QT2X59T8/UNIV/ISN/SC; # of lamps: 1; F96T8; T8 Instant Start, Professional < 10% THD, Universal Voltage Ballast",,10,$32.55,$31.35,,046135495984,No IMAP,S5213
S5236,QTP2/42CF/UNV/Dual Entry; # of lamps: 2; CF26; Compact Fluorescent Programmed Start; Universal Voltage Ballast,,18,$28.45,$27.05,,046135518638,No IMAP,S5236
S5260,"DB240MVRSN; # of lamps: 2; T12 Rapid Start, Professional < 10% THD, Universal Voltage Ballast 120/277V",,20,$19.30,$18.10,,847995002059,No IMAP,S5260
S5286,"QTP1X32T8/UNV/PSN/TC; # of lamps: 1; F32T8; T8 Instant Start, Professional < 10% THD, Universal Voltage Ballast",,10,$32.55,$32.55,,046135513978,No IMAP,S5286
S5288,"QTP3X32T8/UNV/PSN/TC; # of lamps: 3; F32T8; T8 Instant Start, Professional < 10% THD, Universal Voltage Ballast",,10,$33.80,$33.80,,046135514135,No IMAP,S5288
S5296,"MB1X22/120/W SOCKET; # of lamps: 1; FC8; Circline Instant Start, < 10% THD, Dedicated Voltage Ballast",,60,$13.25,$13.25,,847995002257,No IMAP,S5296
S5297,"LC12014TW/ SOCKET; # of lamps: 1; FC12/FC16/FC30; Circline Instant Start, < 10% THD, Dedicated Voltage Ballast",,48,$12.95,$12.95,,847995002264,No IMAP,S5297
S5298,"MB1X22&32/W SOCKET; # of lamps: 2; FC8 & FC12; Circline Instant Start, < 10% THD, Dedicated Voltage Ballast",,20,$14.45,$14.45,,847995002271,No IMAP,S5298
S5299,"SL26TW/ SOCKET; # of lamps: 2; FC12 & FC16; Circline Instant Start, < 10% THD, Dedicated Voltage Ballast",,32,$14.45,$14.45,,847995002288,No IMAP,S5299
S5822,125 Watt; Metal Halide HID; Mogul extended base; ED28; Clear; 65 CRI; 4200K,,12,$18.40,$17.04,,045923058226,No IMAP,S5822
S5825,350 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$21.50,$20.05,,045923058257,No IMAP,S5825
S5829,175 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$16.55,$15.10,,045923058295,No IMAP,S5829
S5831,250 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4000K,,12,$16.55,$15.10,,045923058318,No IMAP,S5831
S5833,400 Watt; Metal Halide HID; Mogul base; ED37; Clear; 65 CRI; 4000K,,12,$17.20,$15.75,,045923058332,No IMAP,S5833
S5834,150 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$16.55,$15.10,,045923058349,No IMAP,S5834
S5835,1000 Watt; Metal Halide HID; Mogul base; BT56; Clear; 65 CRI; 4000K,,6,$30.10,$28.70,,045923058356,No IMAP,S5835
S5839,250 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4000K,,12,$17.70,$16.35,,045923058394,No IMAP,S5839
S5837,1500 Watt; Metal Halide HID; Mogul base; BT56; Clear; 65 CRI; 4200K,,6,$30.10,$28.70,,045923058370,No IMAP,S5837
S5841,320 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$18.60,$17.20,,045923058417,No IMAP,S5841
S5841-TF,320 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K; Shatter Proof,,12,$33.00,$33.00,,None,No IMAP,S5841/TF
S5843,400 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$20.05,$18.00,,045923058431,No IMAP,S5843
S5843-TF,400 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K; Shatter Proof,,12,$35.50,$35.50,,None,No IMAP,S5843/TF
S5845,1000 Watt; Metal Halide HID; Mogul base; BT37; Clear; 65 CRI; 4200K,,12,$30.10,$28.70,,045923058455,No IMAP,S5845
S5854,50 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K,,12,$15.15,$13.65,,045923058547,No IMAP,S5854
S5856,70 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K,,12,$15.15,$13.65,,045923058561,No IMAP,S5856
S5856-TF,70 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K; Shatter Proof,,12,$41.80,$41.80,,None,No IMAP,S5856/TF
S5858,100 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K,,12,$15.15,$13.65,,045923058585,No IMAP,S5858
S5860,150 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K,,12,$15.15,$13.65,,045923058608,No IMAP,S5860
S5862,175 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4000K,,12,$13.60,$13.15,,045923058622,No IMAP,S5862
S5863,175 Watt; Metal Halide HID; Medium base; ED17; Clear; 65 CRI; 4200K,,12,$16.60,$15.15,,045923058639,No IMAP,S5863
S5878,400 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K,,12,$18.60,$17.20,,045923058783,No IMAP,S5878
S5878-TF,400 Watt; Metal Halide HID; Mogul base; ED28; Clear; 65 CRI; 4200K; Shatter Proof,,12,$36.80,$36.80,,None,No IMAP,S5878/TF
S5882,250 Watt; Metal Halide HID; Mogul extended base; ED28; Clear; 65 CRI; 4200K,,12,$22.95,$21.45,,045923058820,No IMAP,S5882
S5884,400 Watt; Metal Halide HID; Mogul extended base; ED37; Clear; 65 CRI; 4200K,,12,$22.95,$21.50,,045923058844,No IMAP,S5884
S5886,250 Watt; Metal Halide HID; Mogul extended base; ED28; Clear; 65 CRI; 4200K,,12,$17.17,$15.79,,045923058868,No IMAP,S5886
S5887,400 Watt; Metal Halide HID; MP400; Mogul base; ED37; Clear; 65 CRI; 4200K,,12,$18.05,$16.60,,045923058875,No IMAP,S5887
S6010,100 Watt A19 Incandescent; Frost; 2000 Average rated hours; 1200 Lumens; Med Left Hand Thread LHT base; 120 Volt,6,120,$0.95,$0.80,,045923060106,No IMAP,S6010
S6018,50 Watt; MR16; G8 Lens; 120 Volt,6,6,$4.77,$4.77,,045923060182,No IMAP,S6018
S6020,22 Watt; pin-based Compact Fluorescent; 2700K; 84 CRI; GX32d-2 base,,40,$12.65,$11.85,,045923060205,No IMAP,S6020
S6022,28 Watt; pin-based Compact Fluorescent; 2800K; 84 CRI; GX32d-3 base,,40,$11.15,$10.35,,045923060229,No IMAP,S6022
S6023,28 Watt; pin-based Compact Fluorescent; 5000K; 84 CRI; GX32d-3 base,,40,$11.15,$10.35,,045923060236,No IMAP,S6023
S6040,25 Watt A19 Incandescent; Clear; 1500 Average rated hours; 185 Lumens; Medium base; 120 Volt; 2/Pack,2,120,$0.55,$0.50,,045923060403,No IMAP,S6040
S6050,25 Watt A19 Incandescent; Frost; 1500 Average rated hours; 180 Lumens; Medium base; 120 Volt; 2-Pk,2,120,$0.55,$0.50,,045923060502,No IMAP,S6050
S6050-TF,25 Watt A19 Incandescent; Frost; 1500 Average rated hours; 180 Lumens; Medium base; 120 Volt; 2-Pk/TF,2,120,$4.35,$4.35,,None,No IMAP,S6050/TF
S6080,25 Watt A19 Incandescent; Transparent Red; 2000 Average rated hours; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060809,No IMAP,S6080
S6081,25 Watt A19 Incandescent; Transparent Green; 2000 Average rated hours; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060816,No IMAP,S6081
S6082,25 Watt A19 Incandescent; Transparent Blue; 2000 Average rated hours; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060823,No IMAP,S6082
S6083,25 Watt A19 Incandescent; Transparent Yellow; 2000 Average rated hours; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060830,No IMAP,S6083
S6090,25 Watt A19 Incandescent; Ceramic Red; 1000 Average rated hours; 15 Lumens; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060908,No IMAP,S6090
S6091,25 Watt A19 Incandescent; Ceramic Green; 1000 Average rated hours; 10 Lumens; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060915,No IMAP,S6091
S6092,25 Watt A19 Incandescent; Ceramic Blue; 1000 Average rated hours; 80 Lumens; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060922,No IMAP,S6092
S6092-TF,25 Watt A19 Incandescent; Ceramic Blue; 1000 Average rated hours; 80 Lumens; Medium base; 130 Volt; Shatter Proof,12,24,$6.45,$6.45,,None,No IMAP,S6092/TF
S6093,25 Watt A19 Incandescent; Ceramic Yellow; 1000 Average rated hours; 30 Lumens; Medium base; 130 Volt,12,24,$1.15,$1.00,,045923060939,No IMAP,S6093
S6093-TF,25 Watt A19 Incandescent; Ceramic Yellow; 1000 Average rated hours; 30 Lumens; Medium base; 130 Volt; Shatter Proof,12,24,$6.45,$6.45,,None,No IMAP,S6093/TF
S6096,Display Pack 72 Total Lamps; A19 25 Watt Incandescent; Medium Base; 36 Red; 36 Green; 1000 Average rated hours; 130 Volt,,1,$50.77,$50.77,,045923060960,No IMAP,S6096
S6101,10 Watt miniature; T3 1/4; 3000 Average rated hours; Mini Wedge base; 12 Volt,10,1000,$3.40,$3.40,,045923061011,No IMAP,S6101
S6102,10 Watt miniature; T3 1/4; Frost; 3000 Average rated hours; Mini Wedge base; 12 Volt,10,1000,$1.85,$1.85,,045923061028,No IMAP,S6102
S6339-TF,26 Watt; Pin-Based Compact Fluorescent; 3500K; 82 CRI; G24Q-3 (4-Pin) Base; Shatter proof,,12,$13.50,$13.50,,None,No IMAP,S6339/TF
S6357,5 Watt; Compact Fluorescent; 5000K; G23 Base,,,$1.87,$1.87,,None,No IMAP,S6357
S6385,27 Watt Quad Tube T4 Compact Fluorescent; GX10q-4 base; 6500K,,50,$10.06,$10.06,,045923063855,No IMAP,S6385
S6405,4 Watt; T5; Black light Blue Fluorescent; Miniature Bi Pin base,,20,$10.10,$8.85,,045923064050,No IMAP,S6405
S6406,8 Watt; T5; Black light Blue Fluorescent; Miniature Bi Pin base,,20,$10.10,$8.85,,045923064067,No IMAP,S6406
S6407,15 Watt; T8; Black light Blue Fluorescent; Medium Bi Pin base,,25,$14.65,$13.30,,045923064074,No IMAP,S6407
S6407-TF,15 Watt; T8; Black light Blue Fluorescent; Medium Bi Pin base; Shatter Proof,,25,$18.95,$18.95,,None,No IMAP,S6407/TF
S6409,40 Watt; T12; Black light Blue Fluorescent; Medium Bi Pin base,,6,$18.40,$17.70,,045923064098,No IMAP,S6409
S6409-TF,40 Watt; T12; Black light Blue Fluorescent; Medium Bi Pin base; Shatter Proof,,6,$24.75,$24.75,,None,No IMAP,S6409/TF
S6425-TF,14 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6425/TF
S6426-TF,14 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$10.45,$10.45,,None,No IMAP,S6426/TF
S6428,21 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209192,No IMAP,S6428
S6428-TF,21 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6428/TF
S6429,21 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209215,No IMAP,S6429
S6429-TF,21 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6429/TF
S6430,21 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209246,No IMAP,S6430
S6430-TF,21 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6430/TF
S6431,28 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135208683,No IMAP,S6431
S6431-TF,28 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$22.00,$22.00,,None,No IMAP,S6431/TF
S6432,28 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209017,No IMAP,S6432
S6432-TF,28 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6432/TF
S6433,28 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209024,No IMAP,S6433
S6433-TF,28 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6433/TF
S6434,35 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,40,046135209253,No IMAP,S6434
S6434-TF,35 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,40,None,No IMAP,S6434/TF
S6435,35 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,40,046135209260,No IMAP,S6435
S6435-TF,35 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,40,None,No IMAP,S6435/TF
S6436,35 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,40,046135209277,No IMAP,S6436
S6436-TF,35 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,40,None,No IMAP,S6436/TF
S6437,24 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209284,No IMAP,S6437
S6437-TF,24 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6437/TF
S6438,24 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209291,No IMAP,S6438
S6439,24 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209314,No IMAP,S6439
S6439-TF,24 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6439/TF
S6440,39 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209321,No IMAP,S6440
S6440-TF,39 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6440/TF
S6441,39 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209338,No IMAP,S6441
S6442,39 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$7.67,$6.56,,046135209345,No IMAP,S6442
S6442-TF,39 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$17.85,$17.85,,None,No IMAP,S6442/TF
S6443,54 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$8.27,$7.17,,046135209031,No IMAP,S6443
S6443-TF,54 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$22.00,$22.00,,None,No IMAP,S6443/TF
S6444,54 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$8.27,$7.17,,046135209048,No IMAP,S6444
S6444-TF,54 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$19.25,$19.25,,None,No IMAP,S6444/TF
S6445,54 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$8.27,$7.17,,046135209062,No IMAP,S6445
S6445-TF,54 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base; Shatter Proof,,40,$22.00,$22.00,,None,No IMAP,S6445/TF
S6446,80 Watt; T5; Fluorescent; 3000K Warm White; 82 CRI; Miniature Bi Pin base,,40,$11.50,$10.45,40,046135209352,No IMAP,S6446
S6447,80 Watt; T5; Fluorescent; 3500K Neutral White; 82 CRI; Miniature Bi Pin base,,40,$11.50,$10.45,40,046135209369,No IMAP,S6447
S6448,80 Watt; T5; Fluorescent; 4100K Cool White; 82 CRI; Miniature Bi Pin base,,40,$11.50,$10.45,40,046135209376,No IMAP,S6448
S6449,35 Watt; T12; Fluorescent; 4200K Cool White; 62 CRI; Recessed Double Contact HO/VHO base,,30,$11.95,$10.95,,046135253133,No IMAP,S6449
S6450,35 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base,,30,$10.95,$9.95,,046135253140,No IMAP,S6450
S6460,85 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base,,15,$16.95,$16.50,15,046135251894,No IMAP,S6460
S6460-TF,85 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base; Shatter Proof,,15,$28.70,$28.70,15,None,No IMAP,S6460/TF
S6461,100 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base,,15,$13.95,$12.95,15,046135253850,No IMAP,S6461
S6462,110 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base,,15,$13.95,$13.95,15,046135251351,No IMAP,S6462
S6462-TF,110 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Recessed Double Contact HO/VHO base; Shatter Proof,,15,$22.00,$22.00,15,None,No IMAP,S6462/TF
S6478,38 Watt; T8; Fluorescent; 4200K Cool White; 62 CRI; Single Pin base,,24,$12.95,$12.75,24,046135272660,No IMAP,S6478
S6478-TF,38 Watt; T8; Fluorescent; 4200K Cool White; 62 CRI; Single Pin base; Shatter Proof,,24,$23.40,$23.40,24,None,No IMAP,S6478/TF
S6490,8 Watt; T2; Subminiature Fluorescent; 3000K Warm White; 80 CRI; Axial base,20,20,$20.65,$19.25,,045923064906,No IMAP,S6490
S6492,11 Watt; T2; Subminiature Fluorescent; 3000K Warm White; 80 CRI; Axial base,20,20,$20.65,$19.25,,045923064920,No IMAP,S6492
S6494,13 Watt; T2; Subminiature Fluorescent; 3000K Warm White; 80 CRI; Axial base,20,200,$19.65,$18.35,,045923064944,No IMAP,S6494
S6495,13 Watt; T2; Subminiature Fluorescent; 4100K Cool White; 80 CRI; Axial base,20,200,$14.28,$13.18,,045923064951,No IMAP,S6495
S6500,22 Watt; T9; Circline Fluorescent; 4100K Cool White; 62 CRI; 4-Pin base,,12,$3.90,$3.00,,045923065002,No IMAP,S6500
S6500-TF,22 Watt; T9; Circline Fluorescent; 4100K Cool White; 62 CRI; 4-Pin base; Shatter Proof,,12,$13.10,$13.10,,None,No IMAP,S6500/TF
S6501,22 Watt; T9; Circline Fluorescent; 6500K Daylight; 76 CRI; 4-Pin base,,12,$4.25,$3.60,,045923065019,No IMAP,S6501
S6502,22 Watt; T9; Circline Fluorescent; 3000K Warm White; 52 CRI; 4-Pin base,,12,$4.25,$3.60,,045923065026,No IMAP,S6502
S6503,32 Watt; T9; Circline Fluorescent; 4100K Cool White; 62 CRI; 4-Pin base,,12,$4.05,$3.15,,045923065033,No IMAP,S6503
S6503-TF,32 Watt; T9; Circline Fluorescent; 4100K Cool White; 62 CRI; 4-Pin base; Shatter Proof,,12,$14.65,$14.65,,None,No IMAP,S6503/TF
S6504,32 Watt; T9; Circline Fluorescent; 6500K Daylight; 76 CRI; 4-Pin base,,12,$4.35,$3.75,,045923065040,No IMAP,S6504
S6505,32 Watt; T9; Circline Fluorescent; 3000K Warm White; 52 CRI; 4-Pin base,,12,$4.35,$3.75,,045923065057,No IMAP,S6505
S6506,40 Watt; T9; Circline Fluorescent; 4100K Cool White; 62 CRI; 4-Pin base,,12,$8.05,$7.30,,045923065064,No IMAP,S6506
S6507,30 Watt; T9; Circline Fluorescent; 3000K; Soft White; 82 CRI; 4-Pin base,,12,$8.70,$7.25,,045923065071,No IMAP,S6507
S6518-TF,30 Watt; T8; Fluorescent; 6500K Daylight; 76 CRI; Medium Bi Pin base; Shatter Proof,,24,$13.75,$13.75,,None,No IMAP,S6518/TF
S6520,17 Watt; T8; Fluorescent; 3000K Warm White; 75 CRI; Medium Bi Pin base,,30,$4.36,$3.62,,046135219184,No IMAP,S6520
S6524,17 Watt; T8; Fluorescent; 3500K Neutral White; 82 CRI; Medium Bi Pin base,,30,$5.95,$5.75,,046135221361,No IMAP,S6524
S6524-TF,17 Watt; T8; Fluorescent; 3500K Neutral White; 82 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S6524/TF
S6525,17 Watt; T8; Fluorescent; 4100K Cool White; 82 CRI; Medium Bi Pin base,,30,$5.95,$5.75,,046135221378,No IMAP,S6525
S6526-TF,25 Watt; T8; Fluorescent; 3000K Warm White; 75 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S6526/TF
S6535,32 Watt; T8; Fluorescent; 3000K Warm White; 85 CRI; Medium Bi Pin base,,30,$4.36,$3.26,,046135217777,No IMAP,S6535
S6535-TF,32 Watt; T8; Fluorescent; 3000K Warm White; 85 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S6535/TF
S6536,32 Watt; T8; Fluorescent; 3500K Neutral White; 85 CRI; Medium Bi Pin base,,30,$4.36,$3.26,,046135217791,No IMAP,S6536
S6536-TF,32 Watt; T8; Fluorescent; 3500K Neutral White; 85 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S6536/TF
S6537,32 Watt; T8; Fluorescent; 4100K Cool White; 85 CRI; Medium Bi Pin base,,30,$3.80,$2.81,,046135217814,No IMAP,S6537
S6542,59 Watt; T8; Fluorescent; 3500K Neutral White; 82 CRI; Single Pin base,,24,$16.75,$15.70,24,046135221484,No IMAP,S6542
S6543,59 Watt; T8; Fluorescent; 4100K Cool White; 82 CRI; Single Pin base,,24,$16.75,$15.70,24,046135221491,No IMAP,S6543
S6543-TF,59 Watt; T8; Fluorescent; 4100K Cool White; 82 CRI; Single Pin base; Shatter Proof,,24,$32.45,$32.45,24,None,No IMAP,S6543/TF
S6547,40 Watt; T8; Fluorescent; 3000K Warm White; 82 CRI; Medium Bi Pin base,,30,$9.21,$7.35,30,046135219122,No IMAP,S6547
S6547-TF,40 Watt; T8; Fluorescent; 3000K Warm White; 82 CRI; Medium Bi Pin base; Shatter Proof,,30,$15.10,$15.10,30,None,No IMAP,S6547/TF
S6548,40 Watt; T8; Fluorescent; 3500K Neutral White; 82 CRI; Medium Bi Pin base,,30,$9.21,$7.35,30,046135219115,No IMAP,S6548
S6548-TF,40 Watt; T8; Fluorescent; 3500K Neutral White; 82 CRI; Medium Bi Pin base; Shatter Proof,,30,$18.70,$18.70,30,None,No IMAP,S6548/TF
S6549,40 Watt; T8; Fluorescent; 4100K Cool White; 82 CRI; Medium Bi Pin base,,30,$9.21,$7.35,30,046135219160,No IMAP,S6549
S6549-TF,40 Watt; T8; Fluorescent; 4100K Cool White; 82 CRI; Medium Bi Pin base; Shatter Proof,,30,$17.85,$17.85,30,None,No IMAP,S6549/TF
S6550,31 Watt; T8; U-Bend Fluorescent; 3000K Warm White; 82 CRI; Medium Bi Pin base,,15,$13.18,$12.08,,046135218774,No IMAP,S6550
S6552,31 Watt; T8; U-Bend Fluorescent; 4100K Cool White; 82 CRI; Medium Bi Pin base,,15,$13.18,$12.08,,046135218798,No IMAP,S6552
S6563,15 Watt; T12; Fluorescent; 6500K Daylight; 76 CRI; Medium Bi Pin base,,25,$4.95,$4.30,,045923065637,No IMAP,S6563
S6577,59 Watt; T8; Fluorescent; 5000K Natural Light; 80 CRI; Single Pin base,,24,$20.10,$18.85,24,046135221736,No IMAP,S6577
S6577-TF,59 Watt; T8; Fluorescent; 5000K Natural Light; 80 CRI; Single Pin base; Shatter Proof,,24,$22.05,$22.05,24,None,No IMAP,S6577/TF
S6579,20 Watt; T12; Shatter Proof Fluorescent; 4100K Cool White; 62 CRI; Medium Bi Pin base,,30,$7.67,$6.56,,045923065798,No IMAP,S6579
S6580,30 Watt; T12; Shatter Proof Fluorescent; 4200K Cool White; 62 CRI; Medium Bi Pin base,,30,$9.87,$8.77,,045923065804,No IMAP,S6580
S6589,110 Watt; T12; Shatter Proof Fluorescent; 4200K Cool White; 62 CRI; Recessed Double Contact HO/VHO base,,15,$26.95,$25.50,15,045923065897,No IMAP,S6589
S6593,40 Watt; T12; U-Bend Shatter Proof Fluorescent; 4200K Cool White; 62 CRI; Medium Bi Pin base,,12,$19.79,$19.30,,045923065934,No IMAP,S6593
S6608-TF,40 Watt; T12; Fluorescent; 6500K Daylight; 88 CRI; Medium Bi Pin base; Shatter Proof,,30,$11.00,$11.00,,None,No IMAP,S6608/TF
S6627,"Adapters; 5, 7, and 9 Watt",,12,$5.13,$4.23,,045923066276,No IMAP,S6627
S6628,Adapter; 13 Watt,,12,$6.65,$5.73,,045923066283,No IMAP,S6628
S6637,40 Watt; T12; Fluorescent; 4100K Cool White; 90 CRI; Medium Bi Pin base,,30,$2.90,$2.90,30,045923066375,No IMAP,S6637
S6638,40 Watt; T12; Fluorescent; 6500K Day Light; 90 CRI; Medium Bi Pin base,,30,$3.05,$3.05,30,045923066382,No IMAP,S6638
S6650-TF,75 Watt; T12; Fluorescent; 6500K Daylight; 88 CRI; Single Pin base; Shatter Proof,,15,$28.70,$28.70,15,None,No IMAP,S6650/TF
S6651,75 Watt; T12; Fluorescent; 5000K Natural Light; 90 CRI; Single Pin base,,15,$16.95,$16.75,15,046135298332,No IMAP,S6651
S6658,58 Watt Fluorescent T8; 3500K CCT; G13 Base; 82 CRI,,25,$9.95,$8.95,,045923066580,No IMAP,S6658
S6660,39 Watt; T12; Fluorescent; 4200K Cool White; 62 CRI; Single Pin base,,30,$12.95,$12.75,30,046135248276,No IMAP,S6660
S6661,50 Watt; T12; Fluorescent; 4200K Cool White; 62 CRI; Single Pin base,,15,$11.95,$11.75,15,046135276490,No IMAP,S6661
S6661-TF,50 Watt; T12; Fluorescent; 4200K Cool White; 62 CRI; Single Pin base; Shatter Proof,,30,$32.45,$32.45,30,None,No IMAP,S6661/TF
