3-prong-thermoplastic-plug,,active,PN3THERMOBN,brown,,52,4.50,2.10,$109.20,43.00055668,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
3-prong-thermoplastic-plug,,active,PN3THERMOWH,white,,51,4.50,2.10,$107.10,43.00055668,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
brass-reducing-bushing-1-8-ips-to-1-4-27,TRUE,active,RED18x14-27F,Default Title,,180,0.50,,$0.00,28.34952313,BRASS REDUCING BUSHING 1/8 IPS to 1/4 27,Sundial Wire,,,"misc lamp parts, miscellaneous, reducers","<div id=""product-detail"">
<p>This part is used to allow a socket with a 1/8 IPS opening at its base to screw onto a 1/4 27 male threaded piece. This product is for one piece only. There are two in the photo to show the product from two vantage points.</p>
<p>Note: 1/8 IPS and 1/4 27 are standard hardware size definitions.</p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-alabaster-glass,TRUE,active,SHALBGLASS,Default Title,,0,11.00,,$0.00,0,SHADE: Alabaster Glass,Sundial Wire,Home & Garden > Lighting,,shades,"<p>Alabaster glass bell shade with 2-1/4"" Fitter, Height: 5"", Width: 5"".</p>",Title,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
copy-of-shade-holder-brass-uno-shade-holder-2-25,TRUE,active,SHHDUNOLGBK,black,,43,7.75,5.58,$239.94,28.34952313,"SHADE HOLDER: Brass UNO Shade Holder, 3.25""",Sundial Wire,Uncategorized,Shade Holders,shade holders,"<div id=""product-detail"">
<p>This shade holder screws onto an <a href=""/collections/uno-sockets"">UNO socket</a> to support a shade when the three screws are tightened around the shade's rim. This has a 3 1/4"" opening for the shade. The UNO opening is sized to fit the UNO threading on a standard size socket, about 1 1/4"" in diameter It is available in black, brass, antique brass, and nickel finishes.</p>
<p>Please note this product is for only one of the shade holders pictured and does not include any other lamp parts or wire shown.</p>
<p><strong>Made in:</strong> India</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
copy-of-shade-holder-brass-uno-shade-holder-2-25,,active,SHHDUNOLGBR,brass,,6,7.75,5.58,$33.48,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
copy-of-shade-holder-brass-uno-shade-holder-2-25,,active,SHHDUNOLGBZ,antique brass,,7,7.75,5.58,$39.06,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
copy-of-shade-holder-brass-uno-shade-holder-2-25,,active,SHHDUNOLGNK,nickel,,19,7.75,5.58,$106.02,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-clamp-on-shade-holder,TRUE,active,SHHOLDCLMPBR,brass,,0,7.00,3.20,$0.00,28.34952313,SHADE HOLDER: Brass Clamp-On Shade Holder,Sundial Wire,Uncategorized,Shade Holders,shade holders,"<div id=""product-detail"">
<p>This shade holder has a band that screws onto a non-UNO metal socket to support a shade when the three screws are tightened around the shade's rim. This has a 2 1/4"" opening for the shade. It is available in brass and nickel finishes. The clamp opening is just big enough to go around a standard size socket, about 1 1/4"" in diameter.</p>
<p>These clamps do not work with our Bakelite or porcelain sockets.</p>
<p>This is the only clamp-on shade holder that is available on the market. It can be very difficult to get the band around the socket, requiring the band to be bent wide open and then held very tightly with your hand while screwing in the screw that holds the band tight.</p>
<p>We HIGHLY RECOMMEND getting an <a href=""/collections/uno-sockets"">UNO socket</a> and using one of the <a href=""/products/shade-holder-brass-uno-shade-holder"">UNO shade holders</a> if you can. They are far easier to use and better quality.</p>
<p>Please note this product is for only one of the shade holders pictured and does not include any other lamp parts or wire shown.</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-clamp-on-shade-holder,,active,SHHOLDCLMPNK,nickel,,17,11.00,4.86,$82.62,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-uno-shade-holder,,active,SHHOLDUNOAB,antique brass,,8,8.00,4.08,$32.64,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-uno-shade-holder,TRUE,active,SHHOLDUNOBK,black,,18,8.00,4.08,$73.44,28.34952313,"SHADE HOLDER: Brass UNO Shade Holder, 2.25""",Sundial Wire,Uncategorized,Shade Holders,shade holders,"<div id=""product-detail"">
<p>This shade holder screws onto an <a href=""/collections/uno-sockets"">UNO socket</a> to support a shade when the three screws are tightened around the shade's rim. This has a 2 1/4"" opening for the shade. The UNO opening is sized to fit the UNO threading on a standard size socket, about 1 1/4"" in diameter It is available in black, brass, antique brass, and nickel finishes.</p>
<p>Please note this product is for only one of the shade holders pictured and does not include any other lamp parts or wire shown.</p>
<p><strong>Made in:</strong> India</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-uno-shade-holder,,active,SHHOLDUNOBR,brass,,19,8.00,4.08,$77.52,28.34952313,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
shade-holder-brass-uno-shade-holder,,active,SHHOLDUNONK,nickel,,24,8.00,4.08,$97.92,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
pendant-shade-metal-faceted,TRUE,active,SHMETFACAB,Antique Brass,,4,11.00,,$0.00,0,"Pendant Shade, Metal, Faceted",Sundial Wire,Home & Garden > Lighting,,shades,"Metal Pendant Shade, Faceted, 1-13/32"" center hole, available in five finishes.  Can used for UNO sockets (1-13/32"") and large threaded sockets (1-11/16"").  The bottom of the shade is painted white.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Diameter: 7 1/2""<br data-mce-fragment=""1"">Depth: 1"" <br data-mce-fragment=""1"">Center Hole Opening: 1-13/32""<br>",Finish,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
pendant-shade-metal-faceted,,active,SHMETFACBK,Black,,0,11.00,,$0.00,0,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
pendant-shade-metal-faceted,,active,SHMETFACBR,Brass,,5,11.00,,$0.00,0,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
pendant-shade-metal-faceted,,active,SHMETFACBZ,Bronze,,4,11.00,,$0.00,0,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
pendant-shade-metal-faceted,,active,SHMETFACNK,Nickel,,0,11.00,,$0.00,0,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
socket-aluminum-side-cord-exit-push-through,TRUE,active,SKASEPTBR,brass,,62,3.00,1.50,$93.00,33.99958308,"SOCKET: ALUMINUM, SIDE CORD EXIT, PUSH-THROUGH",Sundial Wire,Uncategorized,Sockets,"push-through sockets, side-exit sockets, sockets","<div id=""product-detail"">
<p>This is a side-exit socket for use with a lamp base that has no opening through which the wire can exit. It is aluminum with a push through switch. It is available in a pale brass, nickel, and pewter finish. </p>
<p>The opening in the socket accommodates all of our 2-conductor 18-gauge (pulley, parallel, and twisted pair) and smaller-gauge wires as well as 16-gauge twisted pair.</p>
<p>This product is the socket only.</p>
<p>The socket in one picture that has the lamp base shows the opening in the socket for the wire to enter, indicating how the socket is used. Normally you would orient the opening in the socket towards the back of the lamp, as shown in the other picture with the lamp base. We have left the shade off the lamp so that you can see the socket and how it is used more clearly.</p>
<p> </p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-aluminum-side-cord-exit-push-through,,active,SKASEPTNK,nickel,,18,3.00,1.50,$27.00,33.99958308,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-aluminum-side-cord-exit-push-through,,active,SKASEPTPW,pewter,,35,3.00,1.80,$63.00,33.99958308,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-keyless,TRUE,active,SKBKBK,Default Title,,168,3.00,0.75,$126.00,85.00037519,"SOCKET: BLACK BAKELITE, KEYLESS",Sundial Wire,Uncategorized,Sockets,"Bakelite sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a short, keyless Bakelite look-alike socket, black, with no threads for a shade ring. </p>
<p>This product is the socket only, as shown in the pictures. Wire, bulb and strain relief are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Widest Diameter:</strong> 1.52""</span><br> <span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
<p> </p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-keyless-with-shade-support-ring,TRUE,active,SKBKRBK,Black,,262,4.75,0.85,$222.70,85.00037519,"SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING",Sundial Wire,,Sockets,"Bakelite sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a keyless Bakelite look-alike socket, in black or white, with threads for a shade support ring. The ring is included.</p>
<p>This product is the socket with one retaining ring only. Wire, bulb and strain relief are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Widest Diameter without Ring:</strong> 1.53""</span><br><strong>Ring Outside Diameter: </strong>﻿2.1""<br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Color,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
copy-of-socket-bakelite-keyless-with-shade-support-ring,TRUE,active,SKBKRLBK,Black,,0,4.75,,$0.00,85.00037519,"SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING, Long",Sundial Wire,,Sockets,"Bakelite sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a keyless Bakelite look-alike socket, in black or white, with threads for a shade support ring. The ring is included.</p>
<p>This product is the socket with one retaining ring only. Wire, bulb and strain relief are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""</span><br><span><strong>Widest Diameter without Ring:</strong> 1.53""</span><br><strong>Ring Outside Diameter: </strong>﻿2.1""<br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Color,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
copy-of-socket-bakelite-keyless-with-shade-support-ring,,active,SKBKRLWH,White,,35,4.75,,$0.00,85.00037519,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-keyless-with-shade-support-ring,,active,SKBKRWH,White,,18,4.75,0.85,$15.30,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-push-through-with-shade-support-ring,TRUE,active,SKBPRBK,Default Title,,8,3.00,0.85,$6.80,85.00037519,"SOCKET: BLACK BAKELITE, PUSH-THROUGH WITH SHADE SUPPORT RING",Sundial Wire,,Sockets,"Bakelite sockets, push-through sockets, sockets","<div id=""product-detail"">
<p>This is a Bakelite look-alike socket, black, with a push through switch and UNO threads. It comes with one retaining ring. </p>
<p>This product is the socket with one retaining ring only. Wire, bulb, strain relief, and additional rings are not included. </p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""</span><br><span><strong>Widest Diameter without Ring:</strong> 1.54""</span><br><strong>Ring Outside Diameter: </strong>2.1""<br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-keyless-candelabra-base,TRUE,active,SKCANDBKBK,Default Title,,8,2.50,1.19,$9.52,85.00037519,"SOCKET: BLACK BAKELITE, KEYLESS, CANDELABRA BASE",Sundial Wire,Uncategorized,Sockets,"Bakelite sockets, candelabra sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a black keyless Bakelite socket with a candelabra base. </p>
<p>IMPORTANT: Once you put this socket together you cannot take it apart without a bit of extra work. What you need to do is first, MAKE SURE THE SOCKET IS NOT ATTACHED TO ELECTRICITY. When you are sure there is no current running through the socket, from the underside of the socket, the side where you screw in the bulb, take a tiny screwdriver and identify the shorter of the two brass tabs that are on the outer edges of the interior of the socket, the one indicated with the red arrow in the picture below.</p>
<p style=""text-align: center;""><img alt="""" src=""//cdn.shopify.com/s/files/1/0150/8304/4928/files/cancelabra_socket_interior_with_arrow_large.jpg?v=1571187520"" style=""float: none;""></p>
<p>With a very small flat-head screwdriver, push down on the shorter tab while unscrewing the two exterior pieces of the socket. This tab is horizontal rather than vertical, so you won't have too much trouble pushing on it while turning the two external pieces. You might need a light - a cell phone flashlight works well - to see the tab.</p>
<p>This product is the socket only.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 75W-125V</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 1.75""</span><br><span><strong>Diameter:</strong> 26.9 mm, 1.06 in. on bulb end, 22.85 mm, .89 in. on wiring end</span><br><span><strong>Type: </strong>candelabra base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-black-bakelite-keyless-candelabra-base-with-ring,TRUE,active,SKCANDBKRBK,Default Title,,0,2.50,1.26,$0.00,85.00037519,"SOCKET: BLACK BAKELITE, KEYLESS, CANDELABRA BASE, with Ring",Sundial Wire,Uncategorized,Sockets,"Bakelite sockets, candelabra sockets, keyless sockets, lamp parts, new 03 21, sockets","<div id=""product-detail"">
<p>This is a black keyless Bakelite socket with a candelabra base and a shade support ring. </p>
<p>IMPORTANT: Once you put this socket together you cannot take it apart without a bit of extra work. What you need to do is first, MAKE SURE THE SOCKET IS NOT ATTACHED TO ELECTRICITY. When you are sure there is no current running through the socket, from the underside of the socket, the side where you screw in the bulb, take a tiny screwdriver and identify the shorter of the two brass tabs that are on the outer edges of the interior of the socket, the one indicated with the red arrow in the picture below.</p>
<p style=""text-align: center;""><img alt="""" src=""//cdn.shopify.com/s/files/1/0150/8304/4928/files/cancelabra_socket_interior_with_arrow_large.jpg?v=1571187520"" style=""float: none;""></p>
<p>With a very small flat-head screwdriver, push down on the shorter tab while unscrewing the two exterior pieces of the socket. This tab is horizontal rather than vertical, so you won't have too much trouble pushing on it while turning the two external pieces. You might need a light - a cell phone flashlight works well - to see the tab.</p>
<p>This product is the socket only.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 75W-125V</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 1.75""</span><br><span><strong>Diameter:</strong> 26.9 mm, 1.06 in. on bulb end, 22.85 mm, .89 in. on wiring end</span><br><span><strong>Type: </strong>candelabra base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Title,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-pull-chain,,active,SKCCBK,black,,103,11.50,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-pull-chain,TRUE,active,SKCCBR,brass,,24,11.50,,$0.00,170.0007504,SOCKET: 4-PIECE with ON/OFF PULL CHAIN,Sundial Wire,,Sockets,"4-piece metal sockets, pull-chain sockets, sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket available in brass and black, dark antique brass, and nickel finishes with an on/off pull chain and set screw. </p>
<p>This product is the socket only.</p>
<p> </p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-pull-chain,,active,SKCCBZ,dark antique brass,,15,11.50,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-pull-chain,,active,SKCCNK,nickel,,28,11.50,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch,,active,SKCDBK,black,,17,20.00,11.94,$202.98,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch,TRUE,active,SKCDBR,brass,,13,20.00,7.50,$97.50,170.0007504,SOCKET: 4-PIECE with DIMMER SWITCH,Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, dimmer sockets, sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket available in brass and black, dark antique brass, and nickel finishes with a dimmer switch. When you turn the switch, instead of clicking, it turns smoothly, dimming the light as you turn. </p>
<p>This product is the socket only. </p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 120V, 150W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch,,active,SKCDBZ,dark antique brass,,27,20.00,8.00,$216.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch,,active,SKCDNK,nickel,,10,20.00,7.50,$75.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch-and-uno-threads,,active,SKCDUBK,black,,15,22.00,8.95,$134.25,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch-and-uno-threads,TRUE,active,SKCDUBR,brass,,12,22.00,8.95,$107.40,170.0007504,SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS,Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, dimmer sockets, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket available in brass and black, dark antique brass, and nickel finishes with a dimmer switch. When you turn the switch, instead of clicking, it turns smoothly, dimming the light as you turn. </p>
<p>This product is the socket only. The other lamp parts shown in the pictures are available below in the lamp parts and wire listings.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 120V, 150W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch-and-uno-threads,,active,SKCDUBZ,dark antique brass,,27,22.00,13.80,$372.60,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-dimmer-switch-and-uno-threads,,active,SKCDUNK,nickel,,13,22.00,8.95,$116.35,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless,,active,SKCKBK,black,,441,12.00,5.00,"$2,205.00",170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless,TRUE,active,SKCKBR,brass,,44,12.00,5.00,$220.00,170.0007504,"SOCKET: 4-PIECE, KEYLESS",Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a keyless 4-piece heavy brass socket available in brass and black, dark antique brass, and nickel finishes. </p>
<p>This product is the socket only, as shown in the picture. Wire, bulb and strain relief are not included. The other lamp parts shown in the pictures are available below in the related products listings.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless,,active,SKCKBZ,dark antique brass,,38,12.00,5.75,$218.50,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless,,active,SKCKNK,nickel,,49,12.00,5.00,$245.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads,,active,SKCKUBK,black,,17,14.00,8.10,$137.70,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads,TRUE,active,SKCKUBR,brass,,14,14.00,5.50,$77.00,170.0007504,"SOCKET: 4-PIECE, KEYLESS WITH UNO THREADS",Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, keyless sockets, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a keyless 4-piece heavy brass socket with UNO threads available in brass and black, dark antique brass, and nickel finishes. </p>
<p>This product is the socket only, as shown in the center picture. Wire, bulb and strain relief are not included. The other lamp parts shown in the pictures are available below in the related products listings.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.5""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads,,active,SKCKUBZ,dark antique brass,,20,14.00,7.50,$150.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads-grounded,TRUE,active,SKCKUGNDBR,brass,,45,16.00,,$0.00,170.0007504,"SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED",Sundial Wire,,Sockets,"4-piece metal sockets, grounded sockets, keyless sockets, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a grounded keyless 4-piece heavy brass socket with UNO threads and a ground screw, available in brass, dark antique brass, and nickel finishes. </p>
<p>The ground wire goes through a hole in the underside of the cap. It wire goes through the hole into the ground outlet protruding from the outside of the cap. The ground outlet has a set screw to hold the ground wire inside it.</p>
<div class=""product-attribute attribute-ul""><span class=""product-attribute-name attribute-ul-name""><strong></strong></span></div>
<div class=""product-attribute attribute-made-in"">
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads-grounded,,active,SKCKUGNDBZ,dark antique brass,,27,16.00,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads-grounded,,active,SKCKUGNDNK,nickel,,39,16.00,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-keyless-with-uno-threads,,active,SKCKUNK,nickel,,31,14.00,5.50,$170.50,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch,,active,SKCOBK,black,,24,16.00,6.00,$144.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch,TRUE,active,SKCOBR,brass,,23,16.00,6.00,$138.00,170.0007504,SOCKET: 4-PIECE with ON/OFF TURN KNOB,Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, on-off turn knob sockets, sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket with an on/off turn knob and set screw available in brass and black, dark antique brass, and nickel finishes.</p>
<p>This product is the socket only, as shown in the picture. Wire, bulb and strain relief are not included. </p>
<div class=""product-attribute attribute-ul""><span class=""product-attribute-name attribute-ul-name""><strong></strong></span></div>
<div class=""product-attribute attribute-made-in"">
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch,,active,SKCOBZ,dark antique brass,,20,16.00,7.00,$140.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch,,active,SKCONK,nickel,,8,16.00,6.00,$48.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-with-on-off-switch-and-uno-threads,TRUE,active,SKCOUBK,black,,14,18.00,10.20,$142.80,170.0007504,SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS,Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, on-off turn knob sockets, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket with an on/off turn knob and UNO threads, available in brass and black, dark antique brass, and nickel finishes. </p>
<p>This product is the socket only. </p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-with-on-off-switch-and-uno-threads,,active,SKCOUBR,brass,,3,18.00,7.00,$21.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-with-on-off-switch-and-uno-threads,,active,SKCOUBZ,dark antique brass,,6,18.00,7.00,$42.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
